Year;Country;Refugees_from_Syria;Deaths_in_Syria;Unemployment;Value
2011;Ukraine;219;3917;10.16;NA
2011;UnitedKingdom;1032;3917;8.036335;NA
2012;Albania;3;15613;10.16;NA
2012;Armenia;5976;15613;10.16;NA
2012;Austria;2369;15613;4.863267;1,913
2012;Azerbaijan;9;15613;10.16;NA
2012;Belarus;11;15613;10.16;NA
2012;Belgium;1293;15613;7.537931;3,293
2012;BosniaandHerzegovina;31;15613;10.16;NA
2012;Bulgaria;97;15613;10.16;753
2012;Croatia;52;15613;10.16;NA
2012;Cyprus;1085;15613;10.16;NA
2012;CzechRepublic;124;15613;6.977849;546
2012;Denmark;2018;15613;7.524072;1,856
2012;Finland;328;15613;7.68181;193
2012;France;640;15613;9.399351;NA
2012;Georgia;157;15613;10.16;NA
2012;Germany;24151;15613;5.380757;30,261
2012;Greece;20;15613;24.44174;NA
2012;Hungary;86;15613;11.00812;626
2012;Iceland;4;15613;10.16;4
2012;Ireland;53;15613;14.67011;218
2012;Italy;952;15613;10.65126;3.13
2012;Kazakhstan;12;15613;10.16;NA
2012;Latvia;32;15613;15.0552;9
2012;Malta;330;15613;10.16;NA
2012;Montenegro;7;15613;10.16;NA
2012;Netherlands;1680;15613;5.820699;641
2012;Norway;871;15613;10.16;447
2012;Poland;100;15613;10.08882;NA
2012;Portugal;9;15613;15.53028;24
2012;Romania;162;15613;10.16;1.63
2012;Russia;1544;15613;10.16;NA
2012;Serbia;49;15613;10.16;NA
2012;Slovakia;24;15613;13.96335;66
2012;Slovenia;10;15613;8.838806;12
2012;Spain;352;15613;24.78815;NA
2012;Sweden;9802;15613;7.975423;4,961
2012;Switzerland;3083;15613;10.16;2,496
2012;Turkey;317239;15613;10.16;5,071
2012;Ukraine;516;15613;10.16;NA
2012;UnitedKingdom;2106;15613;7.886268;NA
2013;Albania;15;9842;10.16;NA
2013;Armenia;11132;9842;10.16;NA
2013;Austria;4309;9842;5.336031;2,542
2013;Azerbaijan;15;9842;10.16;NA
2013;Belarus;60;9842;10.16;NA
2013;Belgium;2365;9842;8.425185;3,956
2013;BosniaandHerzegovina;66;9842;10.16;NA
2013;Bulgaria;4604;9842;10.16;792
2013;Croatia;59;9842;10.16;NA
2013;Cyprus;1635;9842;10.16;NA
2013;CzechRepublic;174;9842;6.953799;599
2013;Denmark;3357;9842;6.995368;2,739
2013;Estonia;12;9842;8.631536;3
2013;Finland;429;9842;8.186392;322
2013;France;1817;9842;9.912376;NA
2013;Georgia;542;9842;10.16;NA
2013;Germany;31819;9842;5.231962;36,862
2013;Greece;9860;9842;27.46715;NA
2013;Hungary;325;9842;10.18524;786
2013;Iceland;18;9842;10.16;6
2013;Ireland;86;9842;13.04587;221
2013;Italy;1118;9842;12.14521;3,662
2013;Kazakhstan;29;9842;10.16;NA
2013;Latvia;45;9842;11.8683;6
2013;Luxembourg;28;9842;5.836521;NA
2013;Malta;878;9842;10.16;NA
2013;Montenegro;60;9842;10.16;NA
2013;Netherlands;3404;9842;7.242696;846
2013;Norway;1570;9842;10.16;795
2013;Poland;208;9842;10.32862;NA
2013;Portugal;22;9842;16.1838;34
2013;Romania;1023;9842;10.16;2,582
2013;Russia;3402;9842;10.16;NA
2013;Serbia;63;9842;10.16;NA
2013;Slovakia;26;9842;14.22133;68
2013;Slovenia;11;9842;10.10859;14
2013;Spain;923;9842;26.0919;NA
2013;Sweden;24792;9842;8.052903;9,067
2013;Switzerland;4861;9842;10.16;3,156
2013;Turkey;726467;9842;10.16;10,067
2013;Ukraine;758;9842;10.16;NA
2013;UnitedKingdom;3810;9842;7.52635;NA
2014;Albania;8;65281;10.16;NA
2014;Armenia;15003;65281;10.16;NA
2014;Austria;2748;65281;5.621219;NA
2014;Azerbaijan;14;65281;10.16;NA
2014;Belarus;120;65281;10.16;NA
2014;Belgium;3353;65281;8.52289;4.76
2014;BosniaandHerzegovina;25;65281;10.16;NA
2014;Bulgaria;11011;65281;10.16;2,027
2014;Croatia;28;65281;10.16;NA
2014;Cyprus;2560;65281;10.16;NA
2014;CzechRepublic;290;65281;6.109115;806
2014;Denmark;8721;65281;6.59281;4,352
2014;Estonia;6;65281;7.355543;3
2014;Finland;493;65281;8.657802;476
2014;France;4121;65281;10.30407;NA
2014;Georgia;505;65281;10.16;NA
2014;Germany;70585;65281;4.981592;53,129
2014;Greece;4095;65281;26.49027;NA
2014;Hungary;1157;65281;7.728486;965
2014;Iceland;12;65281;10.16;18
2014;Ireland;187;65281;11.26332;233
2014;Italy;1475;65281;12.6798;4,414
2014;Kazakhstan;42;65281;10.16;NA
2014;Latvia;69;65281;10.84309;8
2014;Liechtenstein;5;65281;10.16;1
2014;Luxembourg;119;65281;5.854882;NA
2014;Malta;1081;65281;10.16;NA
2014;Montenegro;36;65281;10.16;NA
2014;Netherlands;11015;65281;7.416319;1,367
2014;Norway;3396;65281;10.16;1,526
2014;Poland;274;65281;8.990872;NA
2014;Portugal;30;65281;13.89509;73
2014;Romania;1392;65281;10.16;3,588
2014;Russia;2340;65281;10.16;NA
2014;Serbia;244;65281;10.16;NA
2014;Slovakia;40;65281;13.18428;73
2014;Slovenia;28;65281;9.673278;23
2014;Spain;2117;65281;24.44284;NA
2014;Sweden;53296;65281;7.955972;20,511
2014;Switzerland;8662;65281;10.16;4,166
2014;Turkey;1558149;65281;10.16;57,896
2014;Ukraine;935;65281;10.16;NA
2014;UnitedKingdom;5901;65281;6.111898;NA
2015;Armenia;16623;52999;10.16;NA
2015;Austria;33563;52999;5.723468;9,839
2015;Azerbaijan;16;52999;10.16;NA
2015;Belarus;145;52999;10.16;NA
2015;Belgium;8109;52999;8.481071;7,564
2015;BosniaandHerzegovina;14;52999;10.16;NA
2015;Bulgaria;15502;52999;10.16;7,508
2015;Croatia;23;52999;10.16;NA
2015;Cyprus;9802;52999;10.16;NA
2015;CzechRepublic;407;52999;5.046221;896
2015;Denmark;13813;52999;6.169618;9,822
2015;Estonia;6;52999;6.191967;3
2015;Finland;1270;52999;9.367311;1,049
2015;France;7890;52999;10.35981;NA
2015;Georgia;484;52999;10.16;NA
2015;Germany;197186;52999;4.624955;NA
2015;Greece;9549;52999;24.90084;NA
2015;Hungary;19083;52999;6.817803;1,158
2015;Iceland;37;52999;10.16;19
2015;Ireland;160;52999;9.397721;245
2015;Italy;1706;52999;11.89388;4,638
2015;Kazakhstan;39;52999;10.16;NA
2015;Latvia;65;52999;9.875636;8
2015;Liechtenstein;23;52999;10.16;6
2015;Luxembourg;768;52999;6.658826;NA
2015;Malta;1488;52999;10.16;NA
2015;Netherlands;28902;52999;6.87228;8,173
2015;Norway;13249;52999;10.16;NA
2015;Poland;481;52999;7.50308;NA
2015;Portugal;30;52999;12.44469;144
2015;Romania;1687;52999;10.16;3,963
2015;Russia;1697;52999;10.16;NA
2015;Serbia;11;52999;10.16;NA
2015;Slovakia;47;52999;11.48227;78
2015;Slovenia;39;52999;8.962607;39
2015;Spain;4616;52999;22.05655;NA
2015;Sweden;101993;52999;7.432082;42,186
2015;Switzerland;13157;52999;10.16;6,527
2015;Turkey;2503846;52999;10.16;50,903
2015;Ukraine;965;52999;10.16;NA
2015;UnitedKingdom;8144;52999;5.301425;NA
