TIME;GEO;CITIZEN;AGE;SEX;UNIT;Value;Flag and Footnotes
2006;Luxembourg;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Luxembourg;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Luxembourg;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Luxembourg;Syria;Total;Total;Number;;
2006;Luxembourg;Syria;Total;Males;Number;;
2006;Luxembourg;Syria;Total;Females;Number;;
2006;Hungary;Foreign country;Total;Total;Number;156.16;
2006;Hungary;Foreign country;Total;Males;Number;78,433;
2006;Hungary;Foreign country;Total;Females;Number;77,727;
2006;Hungary;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Hungary;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Hungary;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Hungary;Syria;Total;Total;Number;778;
2006;Hungary;Syria;Total;Males;Number;600;
2006;Hungary;Syria;Total;Females;Number;178;
2006;Malta;Foreign country;Total;Total;Number;12;e
2006;Malta;Foreign country;Total;Males;Number;;
2006;Malta;Foreign country;Total;Females;Number;;
2006;Malta;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Malta;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Malta;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Malta;Syria;Total;Total;Number;;
2006;Malta;Syria;Total;Males;Number;;
2006;Malta;Syria;Total;Females;Number;;
2006;Netherlands;Foreign country;Total;Total;Number;691,357;
2006;Netherlands;Foreign country;Total;Males;Number;342,645;
2006;Netherlands;Foreign country;Total;Females;Number;348,712;
2006;Netherlands;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Netherlands;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Netherlands;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Netherlands;Syria;Total;Total;Number;705;
2006;Netherlands;Syria;Total;Males;Number;292;
2006;Netherlands;Syria;Total;Females;Number;413;
2006;Austria;Foreign country;Total;Total;Number;796,666;
2006;Austria;Foreign country;Total;Males;Number;411,551;
2006;Austria;Foreign country;Total;Females;Number;385,115;
2006;Austria;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Austria;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Austria;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Austria;Syria;Total;Total;Number;921;
2006;Austria;Syria;Total;Males;Number;550;
2006;Austria;Syria;Total;Females;Number;371;
2006;Poland;Foreign country;Total;Total;Number;49,499;e
2006;Poland;Foreign country;Total;Males;Number;23,295;
2006;Poland;Foreign country;Total;Females;Number;26,204;
2006;Poland;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Poland;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Poland;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Poland;Syria;Total;Total;Number;;
2006;Poland;Syria;Total;Males;Number;;
2006;Poland;Syria;Total;Females;Number;;
2006;Portugal;Foreign country;Total;Total;Number;276;e
2006;Portugal;Foreign country;Total;Males;Number;;
2006;Portugal;Foreign country;Total;Females;Number;;
2006;Portugal;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Portugal;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Portugal;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Portugal;Syria;Total;Total;Number;;
2006;Portugal;Syria;Total;Males;Number;;
2006;Portugal;Syria;Total;Females;Number;;
2006;Romania;Foreign country;Total;Total;Number;25,993;
2006;Romania;Foreign country;Total;Males;Number;16,786;
2006;Romania;Foreign country;Total;Females;Number;9,207;
2006;Romania;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Romania;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Romania;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Romania;Syria;Total;Total;Number;1,225;
2006;Romania;Syria;Total;Males;Number;967;
2006;Romania;Syria;Total;Females;Number;258;
2006;Slovenia;Foreign country;Total;Total;Number;48,968;
2006;Slovenia;Foreign country;Total;Males;Number;34,409;
2006;Slovenia;Foreign country;Total;Females;Number;14,559;
2006;Slovenia;Non-EU-28 countries nor reporting country;Total;Total;Number;;
